,MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|SE3
1541,06.03.2023 05:00 - 06.03.2023 06:00,137.44,EUR,
1542,06.03.2023 06:00 - 06.03.2023 07:00,159.8,EUR,
1543,06.03.2023 07:00 - 06.03.2023 08:00,185.0,EUR,
1544,06.03.2023 08:00 - 06.03.2023 09:00,217.09,EUR,
1545,06.03.2023 09:00 - 06.03.2023 10:00,189.99,EUR,
1546,06.03.2023 10:00 - 06.03.2023 11:00,170.26,EUR,
1547,06.03.2023 11:00 - 06.03.2023 12:00,160.84,EUR,
1548,06.03.2023 12:00 - 06.03.2023 13:00,149.92,EUR,
1549,06.03.2023 13:00 - 06.03.2023 14:00,144.95,EUR,
1550,06.03.2023 14:00 - 06.03.2023 15:00,144.3,EUR,
1551,06.03.2023 15:00 - 06.03.2023 16:00,145.78,EUR,
1552,06.03.2023 16:00 - 06.03.2023 17:00,152.0,EUR,
1553,06.03.2023 17:00 - 06.03.2023 18:00,162.03,EUR,
1554,06.03.2023 18:00 - 06.03.2023 19:00,184.87,EUR,
1555,06.03.2023 19:00 - 06.03.2023 20:00,176.81,EUR,
1556,06.03.2023 20:00 - 06.03.2023 21:00,149.99,EUR,
1557,06.03.2023 21:00 - 06.03.2023 22:00,133.6,EUR,
1558,06.03.2023 22:00 - 06.03.2023 23:00,120.65,EUR,
1559,06.03.2023 23:00 - 07.03.2023 00:00,108.58,EUR,
1560,07.03.2023 00:00 - 07.03.2023 01:00,100.95,EUR,
1561,07.03.2023 01:00 - 07.03.2023 02:00,97.09,EUR,
1562,07.03.2023 02:00 - 07.03.2023 03:00,92.91,EUR,
1563,07.03.2023 03:00 - 07.03.2023 04:00,83.93,EUR,
1564,07.03.2023 04:00 - 07.03.2023 05:00,80.45,EUR,
1565,07.03.2023 05:00 - 07.03.2023 06:00,87.68,EUR,
1566,07.03.2023 06:00 - 07.03.2023 07:00,98.71,EUR,
1567,07.03.2023 07:00 - 07.03.2023 08:00,102.55,EUR,
1568,07.03.2023 08:00 - 07.03.2023 09:00,105.59,EUR,
1569,07.03.2023 09:00 - 07.03.2023 10:00,98.45,EUR,
1570,07.03.2023 10:00 - 07.03.2023 11:00,97.3,EUR,
1571,07.03.2023 11:00 - 07.03.2023 12:00,96.9,EUR,
1572,07.03.2023 12:00 - 07.03.2023 13:00,89.91,EUR,
1573,07.03.2023 13:00 - 07.03.2023 14:00,96.17,EUR,
1574,07.03.2023 14:00 - 07.03.2023 15:00,95.07,EUR,
1575,07.03.2023 15:00 - 07.03.2023 16:00,97.6,EUR,
1576,07.03.2023 16:00 - 07.03.2023 17:00,106.6,EUR,
1577,07.03.2023 17:00 - 07.03.2023 18:00,123.4,EUR,
1578,07.03.2023 18:00 - 07.03.2023 19:00,149.49,EUR,
1579,07.03.2023 19:00 - 07.03.2023 20:00,129.23,EUR,
1580,07.03.2023 20:00 - 07.03.2023 21:00,113.35,EUR,
1581,07.03.2023 21:00 - 07.03.2023 22:00,112.39,EUR,
1582,07.03.2023 22:00 - 07.03.2023 23:00,68.04,EUR,
1583,07.03.2023 23:00 - 08.03.2023 00:00,57.42,EUR,
1584,08.03.2023 00:00 - 08.03.2023 01:00,73.61,EUR,
1585,08.03.2023 01:00 - 08.03.2023 02:00,71.01,EUR,
1586,08.03.2023 02:00 - 08.03.2023 03:00,70.07,EUR,
1587,08.03.2023 03:00 - 08.03.2023 04:00,83.32,EUR,
1588,08.03.2023 04:00 - 08.03.2023 05:00,107.78,EUR,
1589,08.03.2023 05:00 - 08.03.2023 06:00,114.57,EUR,
1590,08.03.2023 06:00 - 08.03.2023 07:00,137.3,EUR,
1591,08.03.2023 07:00 - 08.03.2023 08:00,158.53,EUR,
1592,08.03.2023 08:00 - 08.03.2023 09:00,173.1,EUR,
1593,08.03.2023 09:00 - 08.03.2023 10:00,163.0,EUR,
1594,08.03.2023 10:00 - 08.03.2023 11:00,152.99,EUR,
1595,08.03.2023 11:00 - 08.03.2023 12:00,144.17,EUR,
1596,08.03.2023 12:00 - 08.03.2023 13:00,137.17,EUR,
1597,08.03.2023 13:00 - 08.03.2023 14:00,135.1,EUR,
1598,08.03.2023 14:00 - 08.03.2023 15:00,137.42,EUR,
1599,08.03.2023 15:00 - 08.03.2023 16:00,141.08,EUR,
1600,08.03.2023 16:00 - 08.03.2023 17:00,144.47,EUR,
1601,08.03.2023 17:00 - 08.03.2023 18:00,153.01,EUR,
1602,08.03.2023 18:00 - 08.03.2023 19:00,166.89,EUR,
1603,08.03.2023 19:00 - 08.03.2023 20:00,170.02,EUR,
1604,08.03.2023 20:00 - 08.03.2023 21:00,153.77,EUR,
1605,08.03.2023 21:00 - 08.03.2023 22:00,134.64,EUR,
1606,08.03.2023 22:00 - 08.03.2023 23:00,128.82,EUR,
1607,08.03.2023 23:00 - 09.03.2023 00:00,115.31,EUR,
1608,09.03.2023 00:00 - 09.03.2023 01:00,113.66,EUR,
1609,09.03.2023 01:00 - 09.03.2023 02:00,111.39,EUR,
1610,09.03.2023 02:00 - 09.03.2023 03:00,111.02,EUR,
1611,09.03.2023 03:00 - 09.03.2023 04:00,109.38,EUR,
1612,09.03.2023 04:00 - 09.03.2023 05:00,111.22,EUR,
1613,09.03.2023 05:00 - 09.03.2023 06:00,113.02,EUR,
1614,09.03.2023 06:00 - 09.03.2023 07:00,137.94,EUR,
1615,09.03.2023 07:00 - 09.03.2023 08:00,158.09,EUR,
1616,09.03.2023 08:00 - 09.03.2023 09:00,164.14,EUR,
1617,09.03.2023 09:00 - 09.03.2023 10:00,154.64,EUR,
1618,09.03.2023 10:00 - 09.03.2023 11:00,142.36,EUR,
1619,09.03.2023 11:00 - 09.03.2023 12:00,131.81,EUR,
1620,09.03.2023 12:00 - 09.03.2023 13:00,122.0,EUR,
1621,09.03.2023 13:00 - 09.03.2023 14:00,116.45,EUR,
1622,09.03.2023 14:00 - 09.03.2023 15:00,116.19,EUR,
1623,09.03.2023 15:00 - 09.03.2023 16:00,116.72,EUR,
1624,09.03.2023 16:00 - 09.03.2023 17:00,118.36,EUR,
1625,09.03.2023 17:00 - 09.03.2023 18:00,135.85,EUR,
1626,09.03.2023 18:00 - 09.03.2023 19:00,147.22,EUR,
1627,09.03.2023 19:00 - 09.03.2023 20:00,145.04,EUR,
1628,09.03.2023 20:00 - 09.03.2023 21:00,135.1,EUR,
1629,09.03.2023 21:00 - 09.03.2023 22:00,125.09,EUR,
1630,09.03.2023 22:00 - 09.03.2023 23:00,117.81,EUR,
1631,09.03.2023 23:00 - 10.03.2023 00:00,108.94,EUR,
1632,10.03.2023 00:00 - 10.03.2023 01:00,102.89,EUR,
1633,10.03.2023 01:00 - 10.03.2023 02:00,100.68,EUR,
1634,10.03.2023 02:00 - 10.03.2023 03:00,99.06,EUR,
1635,10.03.2023 03:00 - 10.03.2023 04:00,98.84,EUR,
1636,10.03.2023 04:00 - 10.03.2023 05:00,99.09,EUR,
1637,10.03.2023 05:00 - 10.03.2023 06:00,105.0,EUR,
1638,10.03.2023 06:00 - 10.03.2023 07:00,119.81,EUR,
1639,10.03.2023 07:00 - 10.03.2023 08:00,136.91,EUR,
1640,10.03.2023 08:00 - 10.03.2023 09:00,140.91,EUR,
1641,10.03.2023 09:00 - 10.03.2023 10:00,136.61,EUR,
1642,10.03.2023 10:00 - 10.03.2023 11:00,131.89,EUR,
1643,10.03.2023 11:00 - 10.03.2023 12:00,125.1,EUR,
1644,10.03.2023 12:00 - 10.03.2023 13:00,116.42,EUR,
1645,10.03.2023 13:00 - 10.03.2023 14:00,112.84,EUR,
1646,10.03.2023 14:00 - 10.03.2023 15:00,114.91,EUR,
1647,10.03.2023 15:00 - 10.03.2023 16:00,112.62,EUR,
1648,10.03.2023 16:00 - 10.03.2023 17:00,110.1,EUR,
1649,10.03.2023 17:00 - 10.03.2023 18:00,129.34,EUR,
1650,10.03.2023 18:00 - 10.03.2023 19:00,135.48,EUR,
1651,10.03.2023 19:00 - 10.03.2023 20:00,133.92,EUR,
1652,10.03.2023 20:00 - 10.03.2023 21:00,115.41,EUR,
1653,10.03.2023 21:00 - 10.03.2023 22:00,108.96,EUR,
1654,10.03.2023 22:00 - 10.03.2023 23:00,99.99,EUR,
1655,10.03.2023 23:00 - 11.03.2023 00:00,85.49,EUR,
1656,11.03.2023 00:00 - 11.03.2023 01:00,70.22,EUR,
1657,11.03.2023 01:00 - 11.03.2023 02:00,71.11,EUR,
1658,11.03.2023 02:00 - 11.03.2023 03:00,73.08,EUR,
1659,11.03.2023 03:00 - 11.03.2023 04:00,80.44,EUR,
1660,11.03.2023 04:00 - 11.03.2023 05:00,85.76,EUR,
1661,11.03.2023 05:00 - 11.03.2023 06:00,96.18,EUR,
1662,11.03.2023 06:00 - 11.03.2023 07:00,104.24,EUR,
1663,11.03.2023 07:00 - 11.03.2023 08:00,110.09,EUR,
1664,11.03.2023 08:00 - 11.03.2023 09:00,111.27,EUR,
1665,11.03.2023 09:00 - 11.03.2023 10:00,106.37,EUR,
1666,11.03.2023 10:00 - 11.03.2023 11:00,93.81,EUR,
1667,11.03.2023 11:00 - 11.03.2023 12:00,81.95,EUR,
1668,11.03.2023 12:00 - 11.03.2023 13:00,78.66,EUR,
1669,11.03.2023 13:00 - 11.03.2023 14:00,60.0,EUR,
1670,11.03.2023 14:00 - 11.03.2023 15:00,60.96,EUR,
1671,11.03.2023 15:00 - 11.03.2023 16:00,80.65,EUR,
1672,11.03.2023 16:00 - 11.03.2023 17:00,98.02,EUR,
1673,11.03.2023 17:00 - 11.03.2023 18:00,106.45,EUR,
1674,11.03.2023 18:00 - 11.03.2023 19:00,114.53,EUR,
1675,11.03.2023 19:00 - 11.03.2023 20:00,110.43,EUR,
1676,11.03.2023 20:00 - 11.03.2023 21:00,106.03,EUR,
1677,11.03.2023 21:00 - 11.03.2023 22:00,103.42,EUR,
1678,11.03.2023 22:00 - 11.03.2023 23:00,101.19,EUR,
1679,11.03.2023 23:00 - 12.03.2023 00:00,89.9,EUR,
1680,12.03.2023 00:00 - 12.03.2023 01:00,64.83,EUR,
1681,12.03.2023 01:00 - 12.03.2023 02:00,59.94,EUR,
1682,12.03.2023 02:00 - 12.03.2023 03:00,57.76,EUR,
1683,12.03.2023 03:00 - 12.03.2023 04:00,56.43,EUR,
1684,12.03.2023 04:00 - 12.03.2023 05:00,57.06,EUR,
1685,12.03.2023 05:00 - 12.03.2023 06:00,57.0,EUR,
1686,12.03.2023 06:00 - 12.03.2023 07:00,59.08,EUR,
1687,12.03.2023 07:00 - 12.03.2023 08:00,65.07,EUR,
1688,12.03.2023 08:00 - 12.03.2023 09:00,81.76,EUR,
1689,12.03.2023 09:00 - 12.03.2023 10:00,78.53,EUR,
1690,12.03.2023 10:00 - 12.03.2023 11:00,66.18,EUR,
1691,12.03.2023 11:00 - 12.03.2023 12:00,66.11,EUR,
1692,12.03.2023 12:00 - 12.03.2023 13:00,66.12,EUR,
1693,12.03.2023 13:00 - 12.03.2023 14:00,67.31,EUR,
1694,12.03.2023 14:00 - 12.03.2023 15:00,70.0,EUR,
1695,12.03.2023 15:00 - 12.03.2023 16:00,74.9,EUR,
1696,12.03.2023 16:00 - 12.03.2023 17:00,85.05,EUR,
1697,12.03.2023 17:00 - 12.03.2023 18:00,100.91,EUR,
1698,12.03.2023 18:00 - 12.03.2023 19:00,109.46,EUR,
1699,12.03.2023 19:00 - 12.03.2023 20:00,111.21,EUR,
1700,12.03.2023 20:00 - 12.03.2023 21:00,105.85,EUR,
1701,12.03.2023 21:00 - 12.03.2023 22:00,101.44,EUR,
1702,12.03.2023 22:00 - 12.03.2023 23:00,92.59,EUR,
1703,12.03.2023 23:00 - 13.03.2023 00:00,65.02,EUR,
1704,13.03.2023 00:00 - 13.03.2023 01:00,49.84,EUR,
1705,13.03.2023 01:00 - 13.03.2023 02:00,39.15,EUR,
1706,13.03.2023 02:00 - 13.03.2023 03:00,34.57,EUR,
1707,13.03.2023 03:00 - 13.03.2023 04:00,30.46,EUR,
1708,13.03.2023 04:00 - 13.03.2023 05:00,33.7,EUR,
1709,13.03.2023 05:00 - 13.03.2023 06:00,34.18,EUR,
1710,13.03.2023 06:00 - 13.03.2023 07:00,38.49,EUR,
1711,13.03.2023 07:00 - 13.03.2023 08:00,77.71,EUR,
1712,13.03.2023 08:00 - 13.03.2023 09:00,79.81,EUR,
1713,13.03.2023 09:00 - 13.03.2023 10:00,42.46,EUR,
1714,13.03.2023 10:00 - 13.03.2023 11:00,31.26,EUR,
1715,13.03.2023 11:00 - 13.03.2023 12:00,30.86,EUR,
1716,13.03.2023 12:00 - 13.03.2023 13:00,33.28,EUR,
1717,13.03.2023 13:00 - 13.03.2023 14:00,33.8,EUR,
1718,13.03.2023 14:00 - 13.03.2023 15:00,32.59,EUR,
1719,13.03.2023 15:00 - 13.03.2023 16:00,31.58,EUR,
1720,13.03.2023 16:00 - 13.03.2023 17:00,31.66,EUR,
1721,13.03.2023 17:00 - 13.03.2023 18:00,47.38,EUR,
1722,13.03.2023 18:00 - 13.03.2023 19:00,52.48,EUR,
1723,13.03.2023 19:00 - 13.03.2023 20:00,48.87,EUR,
1724,13.03.2023 20:00 - 13.03.2023 21:00,43.84,EUR,
1725,13.03.2023 21:00 - 13.03.2023 22:00,42.18,EUR,
1726,13.03.2023 22:00 - 13.03.2023 23:00,34.6,EUR,
1727,13.03.2023 23:00 - 14.03.2023 00:00,23.32,EUR,
1728,14.03.2023 00:00 - 14.03.2023 01:00,9.57,EUR,
1729,14.03.2023 01:00 - 14.03.2023 02:00,4.57,EUR,
1730,14.03.2023 02:00 - 14.03.2023 03:00,4.2,EUR,
1731,14.03.2023 03:00 - 14.03.2023 04:00,2.48,EUR,
1732,14.03.2023 04:00 - 14.03.2023 05:00,4.58,EUR,
1733,14.03.2023 05:00 - 14.03.2023 06:00,26.98,EUR,
1734,14.03.2023 06:00 - 14.03.2023 07:00,42.6,EUR,
1735,14.03.2023 07:00 - 14.03.2023 08:00,69.47,EUR,
1736,14.03.2023 08:00 - 14.03.2023 09:00,92.57,EUR,
1737,14.03.2023 09:00 - 14.03.2023 10:00,81.36,EUR,
1738,14.03.2023 10:00 - 14.03.2023 11:00,73.78,EUR,
1739,14.03.2023 11:00 - 14.03.2023 12:00,60.94,EUR,
1740,14.03.2023 12:00 - 14.03.2023 13:00,53.26,EUR,
1741,14.03.2023 13:00 - 14.03.2023 14:00,59.6,EUR,
1742,14.03.2023 14:00 - 14.03.2023 15:00,65.45,EUR,
1743,14.03.2023 15:00 - 14.03.2023 16:00,59.82,EUR,
1744,14.03.2023 16:00 - 14.03.2023 17:00,78.83,EUR,
1745,14.03.2023 17:00 - 14.03.2023 18:00,99.91,EUR,
1746,14.03.2023 18:00 - 14.03.2023 19:00,104.06,EUR,
1747,14.03.2023 19:00 - 14.03.2023 20:00,104.04,EUR,
1748,14.03.2023 20:00 - 14.03.2023 21:00,99.25,EUR,
1749,14.03.2023 21:00 - 14.03.2023 22:00,63.79,EUR,
1750,14.03.2023 22:00 - 14.03.2023 23:00,54.34,EUR,
1751,14.03.2023 23:00 - 15.03.2023 00:00,50.58,EUR,
1752,15.03.2023 00:00 - 15.03.2023 01:00,59.83,EUR,
1753,15.03.2023 01:00 - 15.03.2023 02:00,56.95,EUR,
1754,15.03.2023 02:00 - 15.03.2023 03:00,56.94,EUR,
1755,15.03.2023 03:00 - 15.03.2023 04:00,56.97,EUR,
1756,15.03.2023 04:00 - 15.03.2023 05:00,54.97,EUR,
1757,15.03.2023 05:00 - 15.03.2023 06:00,57.23,EUR,
1758,15.03.2023 06:00 - 15.03.2023 07:00,112.86,EUR,
1759,15.03.2023 07:00 - 15.03.2023 08:00,136.33,EUR,
1760,15.03.2023 08:00 - 15.03.2023 09:00,148.68,EUR,
1761,15.03.2023 09:00 - 15.03.2023 10:00,111.63,EUR,
1762,15.03.2023 10:00 - 15.03.2023 11:00,103.27,EUR,
1763,15.03.2023 11:00 - 15.03.2023 12:00,60.06,EUR,
1764,15.03.2023 12:00 - 15.03.2023 13:00,53.13,EUR,
1765,15.03.2023 13:00 - 15.03.2023 14:00,50.77,EUR,
1766,15.03.2023 14:00 - 15.03.2023 15:00,60.02,EUR,
1767,15.03.2023 15:00 - 15.03.2023 16:00,91.65,EUR,
1768,15.03.2023 16:00 - 15.03.2023 17:00,101.05,EUR,
1769,15.03.2023 17:00 - 15.03.2023 18:00,108.07,EUR,
1770,15.03.2023 18:00 - 15.03.2023 19:00,111.23,EUR,
1771,15.03.2023 19:00 - 15.03.2023 20:00,109.53,EUR,
1772,15.03.2023 20:00 - 15.03.2023 21:00,105.26,EUR,
1773,15.03.2023 21:00 - 15.03.2023 22:00,105.06,EUR,
1774,15.03.2023 22:00 - 15.03.2023 23:00,81.67,EUR,
1775,15.03.2023 23:00 - 16.03.2023 00:00,72.91,EUR,
1776,16.03.2023 00:00 - 16.03.2023 01:00,32.98,EUR,
1777,16.03.2023 01:00 - 16.03.2023 02:00,34.96,EUR,
1778,16.03.2023 02:00 - 16.03.2023 03:00,36.33,EUR,
1779,16.03.2023 03:00 - 16.03.2023 04:00,38.31,EUR,
1780,16.03.2023 04:00 - 16.03.2023 05:00,43.98,EUR,
1781,16.03.2023 05:00 - 16.03.2023 06:00,89.92,EUR,
1782,16.03.2023 06:00 - 16.03.2023 07:00,108.37,EUR,
1783,16.03.2023 07:00 - 16.03.2023 08:00,136.31,EUR,
1784,16.03.2023 08:00 - 16.03.2023 09:00,133.75,EUR,
1785,16.03.2023 09:00 - 16.03.2023 10:00,112.49,EUR,
1786,16.03.2023 10:00 - 16.03.2023 11:00,100.93,EUR,
1787,16.03.2023 11:00 - 16.03.2023 12:00,91.51,EUR,
1788,16.03.2023 12:00 - 16.03.2023 13:00,85.4,EUR,
1789,16.03.2023 13:00 - 16.03.2023 14:00,78.49,EUR,
1790,16.03.2023 14:00 - 16.03.2023 15:00,80.48,EUR,
1791,16.03.2023 15:00 - 16.03.2023 16:00,84.89,EUR,
1792,16.03.2023 16:00 - 16.03.2023 17:00,93.29,EUR,
1793,16.03.2023 17:00 - 16.03.2023 18:00,99.53,EUR,
1794,16.03.2023 18:00 - 16.03.2023 19:00,100.99,EUR,
1795,16.03.2023 19:00 - 16.03.2023 20:00,99.52,EUR,
1796,16.03.2023 20:00 - 16.03.2023 21:00,96.0,EUR,
1797,16.03.2023 21:00 - 16.03.2023 22:00,88.5,EUR,
1798,16.03.2023 22:00 - 16.03.2023 23:00,47.67,EUR,
1799,16.03.2023 23:00 - 17.03.2023 00:00,42.84,EUR,
1800,17.03.2023 00:00 - 17.03.2023 01:00,33.91,EUR,
1801,17.03.2023 01:00 - 17.03.2023 02:00,32.62,EUR,
1802,17.03.2023 02:00 - 17.03.2023 03:00,31.57,EUR,
1803,17.03.2023 03:00 - 17.03.2023 04:00,29.99,EUR,
1804,17.03.2023 04:00 - 17.03.2023 05:00,29.55,EUR,
1805,17.03.2023 05:00 - 17.03.2023 06:00,29.65,EUR,
1806,17.03.2023 06:00 - 17.03.2023 07:00,31.41,EUR,
1807,17.03.2023 07:00 - 17.03.2023 08:00,33.29,EUR,
1808,17.03.2023 08:00 - 17.03.2023 09:00,33.56,EUR,
1809,17.03.2023 09:00 - 17.03.2023 10:00,32.81,EUR,
1810,17.03.2023 10:00 - 17.03.2023 11:00,32.86,EUR,
1811,17.03.2023 11:00 - 17.03.2023 12:00,32.56,EUR,
1812,17.03.2023 12:00 - 17.03.2023 13:00,32.51,EUR,
1813,17.03.2023 13:00 - 17.03.2023 14:00,32.3,EUR,
1814,17.03.2023 14:00 - 17.03.2023 15:00,32.34,EUR,
1815,17.03.2023 15:00 - 17.03.2023 16:00,30.14,EUR,
1816,17.03.2023 16:00 - 17.03.2023 17:00,29.78,EUR,
1817,17.03.2023 17:00 - 17.03.2023 18:00,29.37,EUR,
1818,17.03.2023 18:00 - 17.03.2023 19:00,28.92,EUR,
1819,17.03.2023 19:00 - 17.03.2023 20:00,26.55,EUR,
1820,17.03.2023 20:00 - 17.03.2023 21:00,24.19,EUR,
1821,17.03.2023 21:00 - 17.03.2023 22:00,23.35,EUR,
1822,17.03.2023 22:00 - 17.03.2023 23:00,22.35,EUR,
1823,17.03.2023 23:00 - 18.03.2023 00:00,18.37,EUR,
1824,18.03.2023 00:00 - 18.03.2023 01:00,4.06,EUR,
1825,18.03.2023 01:00 - 18.03.2023 02:00,4.08,EUR,
1826,18.03.2023 02:00 - 18.03.2023 03:00,4.06,EUR,
1827,18.03.2023 03:00 - 18.03.2023 04:00,9.94,EUR,
1828,18.03.2023 04:00 - 18.03.2023 05:00,17.23,EUR,
1829,18.03.2023 05:00 - 18.03.2023 06:00,21.03,EUR,
1830,18.03.2023 06:00 - 18.03.2023 07:00,21.54,EUR,
1831,18.03.2023 07:00 - 18.03.2023 08:00,22.97,EUR,
1832,18.03.2023 08:00 - 18.03.2023 09:00,28.72,EUR,
1833,18.03.2023 09:00 - 18.03.2023 10:00,29.86,EUR,
1834,18.03.2023 10:00 - 18.03.2023 11:00,32.69,EUR,
1835,18.03.2023 11:00 - 18.03.2023 12:00,32.78,EUR,
1836,18.03.2023 12:00 - 18.03.2023 13:00,32.41,EUR,
1837,18.03.2023 13:00 - 18.03.2023 14:00,31.88,EUR,
1838,18.03.2023 14:00 - 18.03.2023 15:00,30.4,EUR,
1839,18.03.2023 15:00 - 18.03.2023 16:00,31.3,EUR,
1840,18.03.2023 16:00 - 18.03.2023 17:00,33.37,EUR,
1841,18.03.2023 17:00 - 18.03.2023 18:00,54.91,EUR,
1842,18.03.2023 18:00 - 18.03.2023 19:00,96.8,EUR,
1843,18.03.2023 19:00 - 18.03.2023 20:00,54.98,EUR,
1844,18.03.2023 20:00 - 18.03.2023 21:00,34.7,EUR,
1845,18.03.2023 21:00 - 18.03.2023 22:00,34.93,EUR,
1846,18.03.2023 22:00 - 18.03.2023 23:00,33.74,EUR,
1847,18.03.2023 23:00 - 19.03.2023 00:00,33.29,EUR,
1848,19.03.2023 00:00 - 19.03.2023 01:00,36.05,EUR,
1849,19.03.2023 01:00 - 19.03.2023 02:00,36.91,EUR,
1850,19.03.2023 02:00 - 19.03.2023 03:00,38.82,EUR,
1851,19.03.2023 03:00 - 19.03.2023 04:00,39.84,EUR,
1852,19.03.2023 04:00 - 19.03.2023 05:00,42.01,EUR,
1853,19.03.2023 05:00 - 19.03.2023 06:00,43.76,EUR,
1854,19.03.2023 06:00 - 19.03.2023 07:00,45.48,EUR,
1855,19.03.2023 07:00 - 19.03.2023 08:00,49.19,EUR,
1856,19.03.2023 08:00 - 19.03.2023 09:00,60.0,EUR,
1857,19.03.2023 09:00 - 19.03.2023 10:00,76.23,EUR,
1858,19.03.2023 10:00 - 19.03.2023 11:00,72.42,EUR,
1859,19.03.2023 11:00 - 19.03.2023 12:00,67.05,EUR,
1860,19.03.2023 12:00 - 19.03.2023 13:00,54.97,EUR,
1861,19.03.2023 13:00 - 19.03.2023 14:00,44.96,EUR,
1862,19.03.2023 14:00 - 19.03.2023 15:00,49.94,EUR,
1863,19.03.2023 15:00 - 19.03.2023 16:00,54.98,EUR,
1864,19.03.2023 16:00 - 19.03.2023 17:00,79.02,EUR,
1865,19.03.2023 17:00 - 19.03.2023 18:00,98.79,EUR,
1866,19.03.2023 18:00 - 19.03.2023 19:00,99.94,EUR,
1867,19.03.2023 19:00 - 19.03.2023 20:00,53.46,EUR,
1868,19.03.2023 20:00 - 19.03.2023 21:00,33.48,EUR,
1869,19.03.2023 21:00 - 19.03.2023 22:00,31.57,EUR,
1870,19.03.2023 22:00 - 19.03.2023 23:00,28.31,EUR,
1871,19.03.2023 23:00 - 20.03.2023 00:00,24.93,EUR,
1872,20.03.2023 00:00 - 20.03.2023 01:00,25.93,EUR,
1873,20.03.2023 01:00 - 20.03.2023 02:00,25.79,EUR,
1874,20.03.2023 02:00 - 20.03.2023 03:00,26.33,EUR,
1875,20.03.2023 03:00 - 20.03.2023 04:00,28.74,EUR,
1876,20.03.2023 04:00 - 20.03.2023 05:00,33.53,EUR,
1877,20.03.2023 05:00 - 20.03.2023 06:00,39.0,EUR,
1878,20.03.2023 06:00 - 20.03.2023 07:00,41.01,EUR,
1879,20.03.2023 07:00 - 20.03.2023 08:00,103.22,EUR,
1880,20.03.2023 08:00 - 20.03.2023 09:00,104.35,EUR,
1881,20.03.2023 09:00 - 20.03.2023 10:00,103.59,EUR,
1882,20.03.2023 10:00 - 20.03.2023 11:00,103.25,EUR,
1883,20.03.2023 11:00 - 20.03.2023 12:00,101.36,EUR,
1884,20.03.2023 12:00 - 20.03.2023 13:00,96.79,EUR,
1885,20.03.2023 13:00 - 20.03.2023 14:00,95.23,EUR,
1886,20.03.2023 14:00 - 20.03.2023 15:00,95.17,EUR,
1887,20.03.2023 15:00 - 20.03.2023 16:00,96.75,EUR,
1888,20.03.2023 16:00 - 20.03.2023 17:00,99.46,EUR,
1889,20.03.2023 17:00 - 20.03.2023 18:00,104.78,EUR,
1890,20.03.2023 18:00 - 20.03.2023 19:00,108.81,EUR,
1891,20.03.2023 19:00 - 20.03.2023 20:00,120.3,EUR,
1892,20.03.2023 20:00 - 20.03.2023 21:00,107.98,EUR,
1893,20.03.2023 21:00 - 20.03.2023 22:00,107.02,EUR,
1894,20.03.2023 22:00 - 20.03.2023 23:00,103.43,EUR,
1895,20.03.2023 23:00 - 21.03.2023 00:00,79.03,EUR,
1896,21.03.2023 00:00 - 21.03.2023 01:00,65.05,EUR,
1897,21.03.2023 01:00 - 21.03.2023 02:00,54.92,EUR,
1898,21.03.2023 02:00 - 21.03.2023 03:00,38.3,EUR,
1899,21.03.2023 03:00 - 21.03.2023 04:00,35.62,EUR,
1900,21.03.2023 04:00 - 21.03.2023 05:00,36.84,EUR,
1901,21.03.2023 05:00 - 21.03.2023 06:00,58.76,EUR,
1902,21.03.2023 06:00 - 21.03.2023 07:00,100.73,EUR,
1903,21.03.2023 07:00 - 21.03.2023 08:00,102.54,EUR,
1904,21.03.2023 08:00 - 21.03.2023 09:00,102.62,EUR,
1905,21.03.2023 09:00 - 21.03.2023 10:00,101.28,EUR,
1906,21.03.2023 10:00 - 21.03.2023 11:00,99.75,EUR,
1907,21.03.2023 11:00 - 21.03.2023 12:00,98.51,EUR,
1908,21.03.2023 12:00 - 21.03.2023 13:00,97.3,EUR,
1909,21.03.2023 13:00 - 21.03.2023 14:00,58.1,EUR,
1910,21.03.2023 14:00 - 21.03.2023 15:00,58.06,EUR,
1911,21.03.2023 15:00 - 21.03.2023 16:00,92.58,EUR,
1912,21.03.2023 16:00 - 21.03.2023 17:00,95.91,EUR,
1913,21.03.2023 17:00 - 21.03.2023 18:00,100.31,EUR,
1914,21.03.2023 18:00 - 21.03.2023 19:00,100.33,EUR,
1915,21.03.2023 19:00 - 21.03.2023 20:00,97.37,EUR,
1916,21.03.2023 20:00 - 21.03.2023 21:00,59.92,EUR,
1917,21.03.2023 21:00 - 21.03.2023 22:00,45.26,EUR,
1918,21.03.2023 22:00 - 21.03.2023 23:00,43.96,EUR,
1919,21.03.2023 23:00 - 22.03.2023 00:00,42.94,EUR,
1920,22.03.2023 00:00 - 22.03.2023 01:00,35.4,EUR,
1921,22.03.2023 01:00 - 22.03.2023 02:00,35.38,EUR,
1922,22.03.2023 02:00 - 22.03.2023 03:00,35.18,EUR,
1923,22.03.2023 03:00 - 22.03.2023 04:00,35.23,EUR,
1924,22.03.2023 04:00 - 22.03.2023 05:00,35.83,EUR,
1925,22.03.2023 05:00 - 22.03.2023 06:00,43.48,EUR,
1926,22.03.2023 06:00 - 22.03.2023 07:00,50.87,EUR,
1927,22.03.2023 07:00 - 22.03.2023 08:00,89.61,EUR,
